Name,Ownership Type,Phone Number,Address,City,County,Zip,Coordinates,State,Image,Regular hours,Saturday Openint TImes,Sunday Opening Times,24-Hour Service,Starbucks Reserve-Clover Brewed,Oven-Warmed Food,Free Wi-Fi,Verismo System,Mobile Payment,Digital Rewards,La Boulange,Fizzio Handcrafted Sodas,Drive-Thru,Link
8241 Foothill Blvd.,Company Owned,8189533616,"8241 Foothill Blvd., 91040  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,91040,"34.2599182128906,-118.313056945801",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.2599182128906,-118.313056945801&fov=90&heading=235&pitch=10",4:30 AM to 11:00 PM,5:00 AM to 11:00 PM,5:00 AM to 11:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/1010155/us
9th & Flower,Company Owned,213-239-9713,"600 West 9th Street, 900154300  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900154300,"34.045153,-118.260353",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.045153,-118.260353&fov=90&heading=235&pitch=10",5:00 AM to 10:00 PM,5:00 AM to 10:00 PM,5:00 AM to 10:00 PM,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/89075/us
"9th & Santee, Los Angeles",Company Owned,213-489-0913,"300 E. 9th Street, 900151802  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900151802,"34.039857,-118.253353",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.039857,-118.253353&fov=90&heading=235&pitch=10",5:30 AM to 7:00 PM,5:30 AM to 7:00 PM,6:30 AM to 7:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/11795/us
Agoura,Company Owned,(818) 735-0268,"5827 Kanan Road, 913011651  Los Angeles County, California",Agoura Hills - Los Angeles County,Los Angeles County,913011651,"34.156117,-118.759247",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.156117,-118.759247&fov=90&heading=235&pitch=10",4:30 AM to 10:30 PM,5:00 AM to 10:30 PM,5:30 AM to 9:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/15266/us
"Agoura & Las Virgenes, Calabasas",Company Owned,818-878-0503,"26531 Agoura Road, 913021958  Los Angeles County, California",Calabasas - Los Angeles County,Los Angeles County,913021958,"34.143915,-118.699525",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.143915,-118.699525&fov=90&heading=235&pitch=10",4:30 AM to 9:00 PM,5:00 AM to 9:00 PM,5:00 AM to 9:00 PM,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/15456/us
Alameda & 91,Company Owned,3106084835,"1759 South Alameda, 90220  Los Angeles County, California",Compton - Los Angeles County,Los Angeles County,90220,"33.8770904541016,-118.217697143555",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.8770904541016,-118.217697143555&fov=90&heading=235&pitch=10",5:00 AM to 10:30 PM,6:00 AM to 11:00 PM,6:00 AM to 11:00 PM,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,http://www.starbucks.com/store/1007405/us
Alameda & San Fernando,Company Owned,818-567-4355,"113 East Alameda Ave, 915022004  Los Angeles County, California",Burbank - Los Angeles County,Los Angeles County,915022004,"34.174264,-118.30062",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.174264,-118.30062&fov=90&heading=235&pitch=10",4:30 AM to 10:30 PM,5:00 AM to 10:30 PM,5:30 AM to 10:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/8958/us
Albertsons - Long  Beach #6154,Licensed,562-425-8456,"6235 E Spring St, 908084020  Los Angeles County, California",Long Beach - Los Angeles County,Los Angeles County,908084020,"33.810966,-118.109439",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.810966,-118.109439&fov=90&heading=235&pitch=10",6:00 AM to 7:00 PM,6:00 AM to 7:00 PM,6:00 AM to 7:00 PM,No,No,No,No,No,No,No,Yes,Yes,No,http://www.starbucks.com/store/6560/us
Albertsons - Montebello #6181,Licensed,323-888-2250,"2469 Via Campo, 906401805  Los Angeles County, California",Montebello - Los Angeles County,Los Angeles County,906401805,"34.032819,-118.122654",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.032819,-118.122654&fov=90&heading=235&pitch=10",6:00 AM to 9:00 PM,6:00 AM to 9:00 PM,6:00 AM to 9:00 PM,No,No,No,No,No,No,No,Yes,Yes,No,http://www.starbucks.com/store/6562/us
Albertsons - San Pedro #6164,Licensed,310-831-1323,"28090 S Western Ave, 907321246  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,907321246,"33.765006,-118.310126",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.765006,-118.310126&fov=90&heading=235&pitch=10",6:00 AM to 8:00 PM,6:00 AM to 8:00 PM,6:00 AM to 8:00 PM,No,No,No,No,No,No,No,Yes,Yes,No,http://www.starbucks.com/store/9266/us
Albertsons - Santa Clarit #6360,Licensed,661-296-9655,"27631 W Bouquet Canyon Rd, 913501793  Los Angeles County, California",Santa Clarita - Los Angeles County,Los Angeles County,913501793,"34.443213,-118.511436",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.443213,-118.511436&fov=90&heading=235&pitch=10",5:00 AM to 9:00 PM,5:00 AM to 9:00 PM,5:00 AM to 9:00 PM,No,No,No,No,No,No,No,Yes,Yes,No,http://www.starbucks.com/store/12833/us
Albertsons - Tujunga #6397,Licensed,818-248-6945,"6240 Foothill Bl, 910422724  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,910422724,"34.241008,-118.267555",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.241008,-118.267555&fov=90&heading=235&pitch=10",6:00 AM to 7:00 PM,6:00 AM to 7:00 PM,6:00 AM to 7:00 PM,No,No,No,No,No,No,No,Yes,Yes,No,http://www.starbucks.com/store/16799/us
Albertsons-Arcadia #6561,Licensed,626-446-1416,"298 E Live Oak Ave, 910065629  Los Angeles County, California",Arcadia - Los Angeles County,Los Angeles County,910065629,"34.107541,-118.023491",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.107541,-118.023491&fov=90&heading=235&pitch=10",6:00 AM to 9:00 PM,6:00 AM to 9:00 PM,6:00 AM to 9:00 PM,No,No,No,No,No,No,No,Yes,Yes,No,http://www.starbucks.com/store/9451/us
Albertsons-Burbank #6315,Licensed,818-954-0817,"3830 W. Verdugo Ave., 915053441  Los Angeles County, California",Burbank - Los Angeles County,Los Angeles County,915053441,"34.160118,-118.344731",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.160118,-118.344731&fov=90&heading=235&pitch=10",6:00 AM to 7:00 PM,6:00 AM to 7:00 PM,6:00 AM to 7:00 PM,No,No,No,No,No,No,No,Yes,Yes,No,http://www.starbucks.com/store/16101/us
Albertsons-Calabasas #6335,Licensed,818-880-9080,"26521 Agoura Road, 913021958  Los Angeles County, California",Calabasas - Los Angeles County,Los Angeles County,913021958,"34.144144,-118.700251",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.144144,-118.700251&fov=90&heading=235&pitch=10",6:00 AM to 9:00 PM,6:00 AM to 7:00 PM,6:00 AM to 7:00 PM,No,No,No,No,No,No,No,Yes,Yes,No,http://www.starbucks.com/store/9385/us
Albertsons-Carson #6159,Licensed,310-513-1900,"200 E Sepulveda, 907456323  Los Angeles County, California",Carson - Los Angeles County,Los Angeles County,907456323,"33.80777,-118.272137",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.80777,-118.272137&fov=90&heading=235&pitch=10",6:00 AM to 8:00 PM,6:00 AM to 8:00 PM,6:00 AM to 8:00 PM,No,No,No,No,No,No,No,Yes,Yes,No,http://www.starbucks.com/store/11365/us
Albertsons-Glendora #6601,Licensed,626-963-5358,"133 West Route 66, 917406208  Los Angeles County, California",Glendora - Los Angeles County,Los Angeles County,917406208,"34.128663,-117.864773",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.128663,-117.864773&fov=90&heading=235&pitch=10",6:00 AM to 9:00 PM,6:00 AM to 9:00 PM,6:00 AM to 9:00 PM,No,No,No,Yes,No,No,No,Yes,Yes,No,http://www.starbucks.com/store/15748/us
Albertsons-La Mirada #6148,Licensed,714-521-2310,"15200 E Rosecrans Blvd, 906384735  Los Angeles County, California",La Mirada - Los Angeles County,Los Angeles County,906384735,"33.896981,-118.007925",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.896981,-118.007925&fov=90&heading=235&pitch=10",6:00 AM to 9:00 PM,6:00 AM to 9:00 PM,6:00 AM to 9:00 PM,No,No,No,No,No,No,No,Yes,Yes,No,http://www.starbucks.com/store/13289/us
Albertsons-Lomita #6107,Licensed,310-326-3351,"2130 Pacific Coast Hwy., 907172503  Los Angeles County, California",Lomita - Los Angeles County,Los Angeles County,907172503,"33.789009,-118.318134",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.789009,-118.318134&fov=90&heading=235&pitch=10",6:00 AM to 8:00 PM,5:30 AM to 7:00 PM,5:30 AM to 7:00 PM,No,No,No,No,No,No,No,Yes,No,No,http://www.starbucks.com/store/11168/us
Albertsons-Marina Del #6104,Licensed,310-574-0606,"13401 Washington Blvd, 902925658  Los Angeles County, California",Marina del Rey - Los Angeles County,Los Angeles County,902925658,"33.992984,-118.445567",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.992984,-118.445567&fov=90&heading=235&pitch=10",6:00 AM to 9:00 PM,6:00 AM to 9:00 PM,6:00 AM to 9:00 PM,No,No,No,No,No,No,No,Yes,Yes,No,http://www.starbucks.com/store/18489/us
Albertsons-Palmdale #6333,Licensed,661-274-9557,"38727 N Tierra Subida Ave, 935514248  Los Angeles County, California",Palmdale - Los Angeles County,Los Angeles County,935514248,"34.585592,-118.149037",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.585592,-118.149037&fov=90&heading=235&pitch=10",6:00 AM to 8:30 PM,6:00 AM to 8:30 PM,6:00 AM to 8:30 PM,No,No,No,No,No,No,No,Yes,Yes,No,http://www.starbucks.com/store/8302/us
Albertsons-San Dimas #6594,Licensed,909-599-8836,"SEC San Dimas & Bonita, 91773  Los Angeles County, California",San Dimas - Los Angeles County,Los Angeles County,91773,"34.099194,-117.81401",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.099194,-117.81401&fov=90&heading=235&pitch=10",6:00 AM to 8:00 PM,6:00 AM to 8:00 PM,6:00 AM to 8:00 PM,No,No,No,No,No,No,No,Yes,Yes,No,http://www.starbucks.com/store/13293/us
Albertsons-Santa Monica,Licensed,310-452-3811,"2627 Lincoln Blvd, 90405  Los Angeles County, California",Santa Monica - Los Angeles County,Los Angeles County,90405,"34.0065841674805,-118.475860595703",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.0065841674805,-118.475860595703&fov=90&heading=235&pitch=10",,,,No,No,No,No,No,No,No,Yes,Yes,No,http://www.starbucks.com/store/1006217/us
Albertsons-Torrance #6153,Licensed,310-540-6824,"21035 Hawthorne Blvd, 905034613  Los Angeles County, California",Torrance - Los Angeles County,Los Angeles County,905034613,"33.838668,-118.354766",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.838668,-118.354766&fov=90&heading=235&pitch=10",6:00 AM to 8:00 PM,6:00 AM to 7:00 PM,6:00 AM to 7:00 PM,No,No,No,No,No,No,No,Yes,Yes,No,http://www.starbucks.com/store/15771/us
Albertsons-Westlake Vlg #6388,Licensed,818-889-9819,"5770 Lindero Canyon Road, 913624088  Los Angeles County, California",Westlake Village - Los Angeles County,Los Angeles County,913624088,"34.154008,-118.794545",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.154008,-118.794545&fov=90&heading=235&pitch=10",6:00 AM to 9:00 PM,6:00 AM to 9:00 PM,6:00 AM to 9:00 PM,No,No,No,No,No,No,No,Yes,Yes,No,http://www.starbucks.com/store/13254/us
"Alondra & Lakewood, Paramount",Company Owned,562-531-8973,"8819 Alondra Blvd., 907234603  Los Angeles County, California",Paramount - Los Angeles County,Los Angeles County,907234603,"33.88954,-118.144093",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.88954,-118.144093&fov=90&heading=235&pitch=10",5:00 AM to 11:30 PM,5:00 AM to 12:00 AM,6:00 AM to 11:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/17061/us
"Alosta & Barranca, Azusa",Company Owned,626-335-6763,"1119 E. Alosta Avenue, 917022740  Los Angeles County, California",Azusa - Los Angeles County,Los Angeles County,917022740,"34.128899,-117.88329",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.128899,-117.88329&fov=90&heading=235&pitch=10",5:00 AM to 11:00 PM,6:00 AM to 11:00 PM,6:00 AM to 11:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/16134/us
"Altantic & Florence, Bell",Company Owned,323-560-4458,"7121 Atlantic Blvd., 902013650  Los Angeles County, California",Bell - Los Angeles County,Los Angeles County,902013650,"33.970592,-118.188383",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.970592,-118.188383&fov=90&heading=235&pitch=10",5:30 AM to 11:30 PM,5:30 AM to 12:30 AM,5:30 AM to 11:30 PM,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/9344/us
Arcadia,Company Owned,626-447-5094,"733 West Naomi, 910077561  Los Angeles County, California",Arcadia - Los Angeles County,Los Angeles County,910077561,"34.123822,-118.056498",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.123822,-118.056498&fov=90&heading=235&pitch=10",5:30 AM to 10:00 PM,5:30 AM to 10:30 PM,5:30 AM to 10:00 PM,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/16736/us
"Arrow Hwy & 4th, Irwindale",Company Owned,626-960-6132,"15700 Arrow Highway, 917062005  Los Angeles County, California",Irwindale - Los Angeles County,Los Angeles County,917062005,"34.10693,-117.938589",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.10693,-117.938589&fov=90&heading=235&pitch=10",4:30 AM to 10:30 PM,5:30 AM to 10:30 PM,5:30 AM to 10:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/11316/us
"Arroyo & Fillmore, Pasadena",Company Owned,626-796-7330,"753 South Arroyo Parkway, 911053902  Los Angeles County, California",Pasadena - Los Angeles County,Los Angeles County,911053902,"34.132698,-118.147755",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.132698,-118.147755&fov=90&heading=235&pitch=10",4:30 AM to 9:00 PM,5:00 AM to 9:00 PM,5:00 AM to 9:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/10443/us
Artesia & Flagler - Redondo Bch.,Company Owned,(310) 318-5886,"1904 Artesia Blvd., 902782908  Los Angeles County, California",Redondo Beach - Los Angeles County,Los Angeles County,902782908,"33.872563,-118.378862",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.872563,-118.378862&fov=90&heading=235&pitch=10",4:30 AM to 9:00 PM,5:00 AM to 9:00 PM,5:00 AM to 9:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/16268/us
